1;MT101;	Demande de transfert;	Virements clients et Chèques
2;MT102;	Virement à plusieurs clients;	Virements clients et Chèques
3;MT102.STP;	Virement à plusieurs clients;	Virements clients et Chèques
4;MT103;	Virement à un client;	Virements clients et Chèques
5;MT103.REMIT;	Virement à un client;	Virements clients et Chèques
6;MT103.STP;	Virement à un client;	Virements clients et Chèques
7;MT104;	Recouvrement direct;	Virements clients et Chèques
8;MT105;	Enveloppe EDIFACT;	Virements clients et Chèques
9;MT107;	Avis général direct de débit;	Virements clients et Chèques
10;MT110;	Avis de tirage de chèque;	Virements clients et Chèques
11;MT111;	Demande d'opposition sur un chèque;	Virements clients et Chèques
12;MT112;	Réponse à une demande d'opposition sur un chèque;	Virements clients et Chèques
13;MT190;	Avis de charges, intérêts et autres ajustements;	Virements clients et Chèques
14;MT191;	Demande de paiements de charges, intérêts et autres dépenses;	Virements clients et Chèques
15;MT192;	Demande d'annulation;	Virements clients et Chèques
16;MT195;	Requête;	Virements clients et Chèques
17;MT196;	Réponse;	Virements clients et Chèques
18;MT198;	Message propriétaire;	Virements clients et Chèques
19;MT199;	Message à format libre;	Virements clients et Chèques
20;MT200;	Virement interbancaire pour compte propre;     Virements entre institutions financières
21;MT201;	Virements interbancaires multiples pour compte propre;     Virements entre institutions financières
22;MT202;	Virement interbancaire;     Virements entre institutions financières
23;MT202.COV;	Virement interbancaire;     Virements entre institutions financières
24;MT203;	Virements interbancaires multiples;     Virements entre institutions financières
25;MT204;	Message de débit direct marchés financiers;     Virements entre institutions financières
26;MT205;	Exécution d'un virement interbancaire;     Virements entre institutions financières
27;MT205.COV;	Exécution d'un virement interbancaire;     Virements entre institutions financières
28;MT207;	Demande de virement interbancaire;     Virements entre institutions financières
29;MT210;	Avis de réception;     Virements entre institutions financières
30;MT256;	Avis de non-paiement de chèque;     Virements entre institutions financières
31;MT291;	Demande de paiements de charges, intérêts et autres dépenses;     Virements entre institutions financières
32;MT292;	Demande d'annulation;     Virements entre institutions financières
33;MT295;	Requête;     Virements entre institutions financières
34;MT296;	Réponse;     Virements entre institutions financières
35;MT298;	Message propriétaire;     Virements entre institutions financières
36;MT299;	Message à format libre;     Virements entre institutions financières
37;MT300;	Confirmation d'une opération de change;		Change, marché monétaire et dérivés
38;MT303;	Forex/Currency Option Allocation Instruction;		Change, marché monétaire et dérivés
39;MT305;	Confirmation d'une opération d'option de change;		Change, marché monétaire et dérivés
40;MT306;	Confirmation d'une opération d'option de change;		Change, marché monétaire et dérivés
41;MT307;	Advice/Instruction of a Third Party FX Deal	;		Change, marché monétaire et dérivés
42;MT320;	Confirmation d'un emprunt/dépôt à durée fixe;		Change, marché monétaire et dérivés
43;MT321;	Instruction to Settle a Third Party Loan/Deposit	;		Change, marché monétaire et dérivés
44;MT330;	Confirmation d'un emprunt/dépôt à durée variable;		Change, marché monétaire et dérivés
45;MT340;	Confirmation de FRA;		Change, marché monétaire et dérivés
46;MT341;	Confirmation de règlement de FRA;		Change, marché monétaire et dérivés
47;MT350;	Avis de paiement d'intérêts sur emprunt/dépôt;		Change, marché monétaire et dérivés
48;MT360;	Single Currency Interest Rate Derivative Confirmation	;		Change, marché monétaire et dérivés
49;MT361;	Cross Currency Interest Rate Swap Confirmation	;		Change, marché monétaire et dérivés
50;MT362;	Interest Rate Reset/Advice of Payment	;		Change, marché monétaire et dérivés
51;MT364;	Single Currency Interest Rate Derivative Termination/Recouponing Confirmation	;		Change, marché monétaire et dérivés
52;MT365;	Cross Currency Interest Rate Swap Termination/Recouponing Confirmation	;		Change, marché monétaire et dérivés
53;MT370;	Netting Position Advice	;		Change, marché monétaire et dérivés
54;MT380;	Foreign Exchange Order	;		Change, marché monétaire et dérivés
55;MT381;	Foreign Exchange Order Confirmation	;		Change, marché monétaire et dérivés
56;MT390;	Avis de charges, intérêts et autres ajustements;		Change, marché monétaire et dérivés
57;MT391;	Demande de paiements de charges, intérêts et autres dépenses;		Change, marché monétaire et dérivés
58;MT392;	Demande d'annulation;		Change, marché monétaire et dérivés
59;MT395;	Requête;		Change, marché monétaire et dérivés
60;MT396;	Réponse;		Change, marché monétaire et dérivés
61;MT398;	Message propriétaire ;		Change, marché monétaire et dérivés
62;MT399;	Message à format libre;		Change, marché monétaire et dérivés
63;MT400;	Avis de paiement;	Encaissements et Lettres de crédit
64;MT410;	Acknowledgement	Utilisation Scope Structure; Encaissements et Lettres de crédit
